,État,Marque,TAILLE,Date,nom,Prix,Description
285,TRÈS BON ÉTAT,BOTTEGA VENETA,M,2022-04-05,T-SHIRT BOTTEGA VENETA NOIR,110.0,"T-SHIRT DE LA MAISON ITALIENNE BOTTEGA VENETA.
COLLECTION FALL 2020.
COULEUR NOIR.
MATIÈRE: 100 % COTON.
LOGO BOTTEGA TON SUR TON BRODÉ AU DOS.
TAILLE M.
FABRIQUÉ EN ITALIE.
PIÈCE DE GRANDE QUALITÉ.
PORTÉ UNE FOIS, TRÈS BON ÉTAT.
PRODUIT AUTHENTIQUE (PAS UNE CONTREFAÇON).
ENVOI SOIGNÉ.

#LUXE #LUXURY #BOTTEGAVENETA #BOTTEGAVENETASTYLE #TSHIRT #MEN #CLASSY #CHIC #COTON #COTTON #BOTTEGA #BOTTEGASTYLE #GENTLEMAN #CONNOISSEUR #STYLE #ITALY #ITALIAN #FASHION #CASUAL #DOLCEVITA #SPREZZATURA"
286,NEUF SANS ÉTIQUETTE,NIKE,S,2022-04-09,T-SHIRT NIKE DRI-FIT,10.0,MAI INDOSSATA
287,NEUF AVEC ÉTIQUETTE,LIMA LIMON,M / 38 / 10,2022-04-09,CAMISETA LENTEJUELA,13.0,"CAMISETA BLANCA CON DIBUJO DE CORONA DE LENTEJUELA BLANCA, ROJO Y DORADO. 
TALLA M
MARCA LIMA LIMÓN
NUEVO CON ETIQUETA 
#TSHIRT #VERANO #SUMMER"
288,NEUF SANS ÉTIQUETTE,S.OLIVER,S / 36 / 8,2022-04-09,COOL DARK-GREEN T-SHIRT BY S.OLIVER.,13.99,REALLY COOL DARK-GREEN COTTON T-SHIRT BY S.OLIVER. WILL FIT SIZE S AND M. THE SIZE TAG WAS REMOVED AS IT WAS MADE OF SOME ROUGH MATERIAL BUT I NEVER WORN THE T-SHIRT SO IT'S BRAND NEW. MEASUREMENTS: 60CM LONG MEASURED FROM THE SHOULDER AND 47CM WIDE FROM ARMPIT TO ARMPIT. NICE PRINT ON THE FRONT.
289,TRÈS BON ÉTAT,ONLY,XS / 34 / 6,2022-04-09,BLAUW T SHIRT MET GLITTER ONLY,5.0,"T SHIRT BLAUW MET GLITTER STREPEN EN ROOD MET WITTE DETAILS AAN DE MOUWEN EN BOORT. 
AMPER GEDRAGEN!!
MAAT XS"
290,TRÈS BON ÉTAT,,12-18 MOIS / 80-86 CM,2022-04-09,JOLIS T-SHIRT T 18MOIS,28.0,"JOLI LOT DE T-SHIRT PLUS MIGNONS LES UNS QUE LES AUTRES, EN TBE."
291,TRÈS BON ÉTAT,ROCQUER,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,18.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR"
292,TRÈS BON ÉTAT,PHILIPP PLEIN,S / 36 / 8,2022-04-03,T-SHIRT PHILIPP PLEIN,90.0,PAS SOUVENT PORTÉ
293,TRÈS BON ÉTAT,SAW,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,17.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR
ORGANIQUE COTTON"
294,NEUF SANS ÉTIQUETTE,BABY CLUB,9-12 MOIS / 74-80 CM,2022-03-27,T-SHIRT MANCHES COURTES TAILLE 74,1.0,"NEUF 
PETITE TÂCHE SOUS LE POISSON VOIR PHOTO
MOTIF À L ARRIERE
A L'ACHAT D'UN LOT DE 10 ARTICLES: 30% DE RÉDUCTION SUR LES PRIX DE BASE ET 40% À L'ACHAT DE 20 ARTICLES."
295,TRÈS BON ÉTAT,DOLCE & GABBANA,L,2022-04-09,T-SHIRT BY DOLCE & GABBANA,25.0,"*ENJOY*
D&G BY DOLCE&GABBANA T-SHIRT
SIZE: 48
A= 51CM (WIDTH)
B= 71CM (LENGTH)
INSIDE OUT LOOK.
HOW -REFRESHING- IS THIS SHIRT."
296,NEUF SANS ÉTIQUETTE,VERSACE,M,2022-04-09,T-SHIRT VERSACE,140.0,"PORTÉ 1X, ÉTAT IMPLACABLE ET ACHETÉ 190€ ( VOIR FACTURE DISPO)"
297,TRÈS BON ÉTAT,ROBERTO CAVALLI,S,2022-03-28,T-SHIRT ROBERTO CAVALLI CLASS,45.0,"TSHIRT IN COTONE ROBERTO CAVALLI CLASS CON STAMPA DORATA. TG S VESTIBILITÀ REGOLARE.

#VINTED #VINTEDFRANCE #VINTAGESTYLE #VINTEDADDICT #VINTEDSPAIN #VINTEDITALIA #VINTEDSELLER #VINTEDITALY #VINTEDFEMME #VINTEDFASHION"
298,TRÈS BON ÉTAT,CHROME HEARTS,M,2022-04-03,T-SHIRT CHROME HEARTH NOIR,115.0,PORTE RAREMENT TRÈS BON ÉTAT
299,TRÈS BON ÉTAT,BURBERRY,L / 40 / 12,2022-04-09,T SHIRT BURBERRY,75.0,"* FRAMBOOS ROZE T SHIRT VAN BURBERRY TE KOOP
* MAAT LARGE (L)
*VALT NORMAAL
*T SHIRT MET STRETCH
* PATROON OP DE MAUWEN 
*KLEIN FOUTJE ONDERAAN DE T SHIRT ZIE LAATSTE FOTO
VOOR DE REST ZEER GOEDE STAAT .
* WORD VERZONDEN ZONDER DOOS !
*HELAAS 
GEEN FACTUUR MEER"
300,NEUF SANS ÉTIQUETTE,SHEIN,XXXL / 46 / 18,2022-05-09,T-SHIRT FLEURI,5.0,"PORTÉ TRÈS RAREMENT, MANCHE OUVERTE. TRÈS AGRÉABLE À PORTER. 3XL CORRESPOND À UN 50."
301,TRÈS BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T-SHIRT OVERSIZE,5.0,"T-SHIRT EN TRÈS BON ÉTAT PORTÉ QUELQUES FOIS, TAILLE BIEN 
TAILLE M MAIS POURRAIT CORRESPONDRE À UN L/XL"
302,TRÈS BON ÉTAT,SHEIN,XL / 42 / 14,2022-05-05,LOT DE 3 T-SHIRT SHEIN,15.0,"TAILLE XL ET L NI PETIT NI TROP GRAND

HELLO 🌸🌺💮

LE T-SHIRT AVEC LA ROSE À UNE TÂCHE 

POUR TOUTE INFORMATION COMPLÉMENTAIRE VEUILLEZ ME CONTACTER :) 

AH BIENTÔT"
303,TRÈS BON ÉTAT,SHEIN,S,2022-05-12,T-SHIRT SHEIN S,2.0,INDOSSATA 1 VOLTA
304,TRÈS BON ÉTAT,SHEIN,S,2022-05-12,T-SHIRT SHEIN S,2.0,INDOSSATA 1 VOLTA
305,NEUF SANS ÉTIQUETTE,SHEIN,XL / 42 / 14,2022-05-12,T SHIRT ÉCRITURE DANS LE DOS,15.0,"JAMAIS PORTÉ
OVERSIZE 






































Y2K VINTAGE VINTAGELUXE LUXE LUXURY SKATE BRAND FASHION MODE STREETWEARVINTAGE 90S 80S 70S LARGE TIE AND DYE AESTHETIC OUTFIT CASUAL CUTE FOURRURE ZIP SERPENT LÉOPARD HOMME FEMME STRAIGHT PUFFER SKINNY LARGE WIDE BOYFRIEND UNISEXE CROP TOP HOODIE VINTZGEHYPEBEAST STREETWEAR STREET STREETSTYLE BAGGY EVASÉ NOIR BLANC ROSÉ JAUNE VERT ORANGE BLEU ROUGE GRIS VIOLET BEIGE TURQUOISE MARRON CLAIR FONCÉ DENIM SOIE LAINE COTON SERRÉ AMPLE SATIN YESSTYLE GOTH VARSITY HIP HOP LOS ANGELES NEW YORK CALIFORNIA TENDANCE"
306,NEUF AVEC ÉTIQUETTE,SHEIN,M,2022-05-12,T-SHIRT SHEIN HOMME,4.0,"TAILLE M 
NEUF"
307,NEUF SANS ÉTIQUETTE,SHEIN,M / 38 / 10,2022-05-09,T-SHIRT,4.0,NUNCA USADO
308,TRÈS BON ÉTAT,SHEIN,XXL / 44 / 16,2022-05-12,T-SHIRT JAUNE SHEIN XXL,2.0,TRÈS BON ÉTAT
309,NEUF SANS ÉTIQUETTE,SHEIN,M,2022-05-12,T-SHIRT SHEIN HOMME,4.0,"TAILLE M 
NEUF"
310,NEUF SANS ÉTIQUETTE,SHEIN,XXL,2022-04-17,TSHIRT BIANCA E NERA,3.0,"OTTIMA VESTIBILITÀ COTONE ADATTO ALLA STAGIONE PRIMAVERILE
GIRO SENO 123 CM
LUNGHEZZA 63 CM"
311,TRÈS BON ÉTAT,SHEIN,S / 36 / 8,2022-05-09,T-SHIRT MANCHES BOUFFANTES,10.0,"PORTÉ PEU DE FOIS
TAILLE PETIT (ÉCRIT M, MAIS C'EST UN S)"
312,BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T SHIRT SHEIN,2.0,"T SHIRT SHEIN, TAILLE M, LÉGÈRES PETITES TÂCHES EN BAS A DROITE"
313,NEUF SANS ÉTIQUETTE,SHEIN,M / 38 / 10,2022-05-12,T SHIRT ROSE BONBON SHEIN,5.0,"T SHIRT ROSE BONBON SHEIN
JAMAIS MIS"
314,TRÈS BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T-SHIRT SHEIN,3.0,TAGLIA M
315,TRÈS BON ÉTAT,SHEIN,S,2022-05-12,T SHIRT AVEC DESSIN SHEIN,3.0,PORTE QUELQUE FOIS
316,NEUF SANS ÉTIQUETTE,SHEIN,XXL / 44 / 16,2022-05-12,T-SHIRT SHEIN,5.0,"NUOVA, MAI INDOSSATA
TG. 2 XL"
317,NEUF SANS ÉTIQUETTE,SHEIN,M,2022-05-12,T-SHIRT SHEIN HOMME,4.0,"TAILLE M 
NEUF"
318,NEUF SANS ÉTIQUETTE,SHEIN,XL,2022-05-03,T SHIRT SHEIN,5.0,"UNISSEXO 
NOVA 
TAMANHO L/XL"
319,BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T SHIRT SHEIN,2.0,"T SHIRT SHEIN, TAILLE M, LÉGÈRES PETITES TÂCHES EN BAS A DROITE"
320,NEUF SANS ÉTIQUETTE,SHEIN,M / 38 / 10,2022-05-12,T SHIRT ROSE BONBON SHEIN,5.0,"T SHIRT ROSE BONBON SHEIN
JAMAIS MIS"
321,TRÈS BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T-SHIRT SHEIN,3.0,TAGLIA M
322,TRÈS BON ÉTAT,SHEIN,S,2022-05-12,T SHIRT AVEC DESSIN SHEIN,3.0,PORTE QUELQUE FOIS
323,NEUF SANS ÉTIQUETTE,SHEIN,S / 36 / 8,2022-05-12,T-SHIRT SHEIN GRIS S NEUF,3.0,T-SHIRT SHEIN GRIS S NEUF
324,TRÈS BON ÉTAT,SHEIN,XL / 42 / 14,2022-05-12,T-SHIRT SHEIN XL ROSE,2.0,ARTICLE PROCHE DU NEUF NE COMPORTE AUCUN DÉFAUT
325,NEUF SANS ÉTIQUETTE,SHEIN,M / 38 / 10,2022-05-12,T-SHIRT SHEIN PIZZO M,3.0,T-SHIRT SHEIN BIANCA CON MANICHE IN PIZZO. TAGLIA M. USATA POCHISSIMO
326,NEUF SANS ÉTIQUETTE,SHEIN,L,2022-05-12,T-SHIRT SHEIN,5.0,T-SHIRT AVEC DES LÈVRES MULTICOLORE QUI VIENT DE CHEZ SHEIN LA TAILLE EST DU L JAMAIS PORTÉ
327,BON ÉTAT,SHEIN,XS / 34 / 6,2022-05-11,ZWART T-SHIRT VAN SHEIN,1.0,NIET VAAK GEDRAGEN. IN GOEDE STAAT. MAAT XS. MERK SHEIN.
328,TRÈS BON ÉTAT,SHEIN,L / 40 / 12,2022-05-12,T-SHIRT SHEIN,1.0,TAILLE LOOSE TRÈS BON ÉTAT
329,TRÈS BON ÉTAT,SHEIN,M,2022-05-12,T-SHIRT SHEIN,3.5,T-SHIRT
330,TRÈS BON ÉTAT,SHEIN,XS,2022-05-09,T-SHIRT XS SHEIN,2.0,"T-SHIRT
TAILLE XS
TRÈS BON ÉTAT"
331,TRÈS BON ÉTAT,SHEIN,S / 36 / 8,2022-05-12,T SHIRT NOIR SHEIN AVEC BRODERIE,3.5,"AUCUN DÉFAUTS PARTICULIER, TAILLE S"
332,TRÈS BON ÉTAT,SHEIN,XXXL,2022-05-08,T-SHIRT SHEIN,2.0,VENDO T-SHIRT SHEIN
333,NEUF AVEC ÉTIQUETTE,SHEIN,L / 40 / 12,2022-05-12,T-SHIRT SHEIN,6.5,"T-SHIRT SHEIN A MANICA CORTA, TAGLIA 44/46, DONNA, BIANCA CON GRAFICA
TESSUTO LEGGERO E POLIESTERE
SCOLLATURA A GIROCOLLO


🇨🇵
T-SHIRT MANCHES COURTES SHEIN, TAILLE 44/46, FEMME, BLANC AVEC GRAPHISMES
TISSU LÉGER ET POLYESTER
ENCOLURE RONDE"
334,NEUF SANS ÉTIQUETTE,SHEIN,TAILLE UNIQUE,2022-05-12,T-SHIRT CROP SHEIN,15.0,"T-SHIRT CROP SHEIN.
TAGLIA S.
ARTICOLO NUOVO, MAI INDOSSATE."
335,NEUF SANS ÉTIQUETTE,SHEIN,M,2022-05-12,T-SHIRT SHEIN,3.0,"ARTICLE NEUF, JAMAIS PORTÉ !"
336,NEUF SANS ÉTIQUETTE,SHEIN,L / 40 / 12,2022-05-11,T-SHIRT VAN SHEIN,2.0,NIET GEDRAGEN
337,TRÈS BON ÉTAT,SHEIN,M / 38 / 10,2022-05-12,T SHIRT SHEIN M,4.5,T SHIRT SHEIN M LE BORD DES MANCHES EST ÉLASTIQUE (AVANT DON ASSOCIATION MERCI DE LIRE MON PROFIL)
338,NEUF AVEC ÉTIQUETTE,SHEIN,S / 36 / 8,2022-05-12,SHEIN T-SHIRT ROUGE BRIQUE,8.0,NEUF AVEC ÉTIQUETTE
339,NEUF SANS ÉTIQUETTE,SHEIN,4XL / 48 / 20,2022-05-12,T-SHIRT SHEIN TAILLE 48,10.0,"T-SHIRT NEUF, JAMAIS PORTÉ
100 % COTON"
340,TRÈS BON ÉTAT,SHEIN,S,2022-05-09,T-SHIRT BEIGE SHEIN,5.0,"PORTÉ SEULEMENT UNE FOIS ET DONC EN TRÈS BONNE ÉTAT 
ÇA NE SE VOIT PAS TRÈS BIEN SÛR LA PHOTO MAIS IL EST BIEN BEIGE/CRÈME"
341,NEUF SANS ÉTIQUETTE,SHEIN,XS / 34 / 6,2022-05-12,T-SHIRT SHEIN T. XS,1.0,"T-SHIRT BLANC INSCRIPTION
T. XS
NEUF SANS ÉTIQUETTE"
342,NEUF SANS ÉTIQUETTE,SHEIN,M / 38 / 10,2022-05-12,T-SHIRT SHEIN ARANCIO,2.0,"T SHIRT SHEIN MAI INDOSSATA, VENDO PER TAGLIA ERRATA"
343,NEUF AVEC ÉTIQUETTE,PRETTYLITTLETHING,M / 38 / 10,2022-05-12,T SHIRT BEIGE À SLOGAN AU DOS PLT,8.0,"JAMAIS PORTÉE, JUSTE LAVÉE"
344,TRÈS BON ÉTAT,PRETTYLITTLETHING,S / 36 / 8,2022-05-12,T-SHIRT PLT,3.0,"QUELQUE FOIS PORTÉ
TRÈS BON ÉTAT 
MOTIF 
MATIÈRE TRÈS DOUCE ET LÉGÈRE"
345,NEUF AVEC ÉTIQUETTE,PRETTYLITTLETHING,M / 38 / 10,2022-05-12,TSHIRT,7.0,"BEIGE/ROSÉ TSHIRT AVEC FICELLE.
JAMAIS PORTÉ"
346,TRÈS BON ÉTAT,DISNEY,S / 36 / 8,2022-05-12,T SHIRT DISNEY,8.0,T SHIRT DISNEY ALICE IN WONDERLAND. INDOSSATA 1/2 VOLTE COME NUOVA.
347,NEUF AVEC ÉTIQUETTE,BERSHKA,S / 36 / 8,2022-05-12,T SHIRT BERSHKA,3.5,T SHIRT CON SCRITTA AVANTI . NUOVA CON CARTELLINO. VESTE ANCHE UNA M🙂🙂
348,NEUF AVEC ÉTIQUETTE,BERSHKA,S / 36 / 8,2022-05-12,T SHIRT BERSHKA,4.5,T SHIRT BERSHKA COLLABORAZIONE DISNEY CON STAMPA DI ALADDIN E JASMINE . NUOVA CON CARTELLINO
349,SATISFAISANT,PRETTYLITTLETHING,M,2022-05-12,T-SHIRT PRETTYLITTLETHING BEIGE,3.0,POTÉ UNE FOIS. TACHE SUR LA MANCHE
350,NEUF AVEC ÉTIQUETTE,PRETTYLITTLETHING,XXXL / 46 / 18,2022-04-26,T-SHIRT PLT,5.0,JAMAIS MIS TENDANCE
351,BON ÉTAT,PRETTYLITTLETHING,M,2022-05-09,T SHIRT PULP FICTION TROUÉ,5.0,T SHIRT NOIR PULP FICTION TROUÉ (EXPRÈS CE N’EST PAS MOI QUI L’AI DÉCHIRÉ) PLT
352,TRÈS BON ÉTAT,PRETTYLITTLETHING,S / 36 / 8,2022-05-08,T SHIRT MESH GRAPHIQUE STYLE JPG,8.0,MANCHE TRANSPARENTE
353,BON ÉTAT,PRETTYLITTLETHING,S / 36 / 8,2022-04-26,T-SHIRT OVERSIZE,2.0,T-SHIRT MANCHE COURTE OVERSIZE. L’ÉCRITURE EST LÉGÈREMENT ABIMÉE.
354,TRÈS BON ÉTAT,PRETTYLITTLETHING,S / 36 / 8,2022-05-10,TSHIRT OVERSIZE,8.0,TRÈS BON ÉTAT
355,TRÈS BON ÉTAT,PRETTYLITTLETHING,S / 36 / 8,2022-05-10,TSHIRT OVERSIZE,8.0,TRÈS BON ÉTAT
356,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,S / 36 / 8,2022-04-24,TSHIRT VAN PRETTYLITTLETHING,7.5,"MAAT S

#PRETTYLITTLETHING"
357,NEUF SANS ÉTIQUETTE,VIOLETA BY MANGO,4XL / 48 / 20,2022-05-12,CAMISETA FUCSIA MARCA VIOLETA,7.0,"CAMISETA MANGA CORTA FUCSIA, FLUIDA, MARCA VIOLETA BY MANGO.NUEVA SIN ETIQUETAS . CUELLO PICO.
#CAMISETAMANGACORTA 
#CUELLOPICO 
#TSHIRT
#MAGLIETTA 
#COLENV 
#SCOLLOAV"
358,BON ÉTAT,LEVI'S,M / 38 / 10,2022-04-26,CAMISETA CORTA BORDADA LEVIS,16.0,"CAMISETA BLANCA BORDADA LEVIS . BUEN ESTADO. 
FOTOS RECIENTES.
#CASUAL 
#CROPTOP 
#LEVIS 
#CAMISETA 
#TOP 
#TSHIRT 
#MAGLIETTA"
359,TRÈS BON ÉTAT,ELENA MIRO,5XL / 50 / 22,2022-04-29,CAMISETA ESTAMPADA ELENA MIRO,25.0,"CAMISETA FLUIDA ELENA MIRO. MUY BUEN ESTADO POCO USO. MEDIDAS : DE AXILA A AXILA 58 CM APROX. Y DE LARGO 66 CM APROX.
#CAMISETA 
#CASUAL
#TSHIRT 
#MAGLIETTA"
360,SATISFAISANT,PULL & BEAR,M / 38 / 10,2022-05-12,CAMISETA CORTA DEGRADADO AZUL BLANCO ROSA,3.0,"CAMISETA CROP DE PULL AND BEAR . AZUL BLANCA Y ROSA .DESGASTADA DEL USO SIN TARAS RESEÑABLE . 
#CAMISETA 
#TSHIRT 
#CROPTOP 
#MAGLIETTA"
361,TRÈS BON ÉTAT,GAP,XL / 42 / 14,2022-05-12,CAMISETA MANGA CORTA MARRÓN CHOCOLATE GAP,2.0,"CAMISETA MUJER MANGA CORTA , GAP, COLOR MARRÓN CHOCOLATE, BUEN ESTADO.
#CAMISETA 
#CAMISETAMANGACORTA 
#CAMISETAMARRON 
#GAP 
#TSHIRT"
362,TRÈS BON ÉTAT,PRETTYLITTLETHING,M / 38 / 10,2022-05-07,TSHIRT,1.0,#T38_JAIDUSTYLE
363,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,S / 36 / 8,2022-04-23,T-SHIRT,3.0,TOUS LES VÊTEMENTS SERONT LAVÉS ET REPASSÉS AVANT CHAQUE ENVOI.
364,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,M / 38 / 10,2022-05-10,T-SHIRT,5.0,T-SHIRT ROSE DE CHEZ PRETTYLITTLETHING EN TAILLE M SANS ÉTIQUETTE
365,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,S / 36 / 8,2022-05-09,T-SHIRT GRIS SIMPLE,9.0,"SERRÉ MAIS FAIT UN BEAU BUSTE
#PRETTYLITTLETHING 
#ÉTÉ2022"
366,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,S / 36 / 8,2022-05-03,T-SHIRT MANCHES COURTES GRIS PIERRE À SLOGAN PLT,7.0,JAMAIS PORTÉ
367,TRÈS BON ÉTAT,PRETTYLITTLETHING,M / 38 / 10,2022-04-24,"T-SHIRT IMPRIMÉ ""INTERNATIONAL"" PRETTYLITTLETHING",9.0,TRÈS PEU PORTÉ
368,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,XL / 42 / 14,2022-05-12,ROBE T-SHIRT À RAYURES,5.0,"❤ 2 EN 1 : ROBE T-SHIRT DE LA MARQUE PRETTYLITTLETHING À RAYURES ROUGES, NOIRES ET BLANCHES. PARFAITE POUR L'ÉTÉ ! PEUT SERVIR DE T-SHIRT OVERSIZE (REND TRÈS JOLIE NOUÉE) OU BIEN DE ROBE. PORTÉ UNE SEULE FOIS DONC COMME NEUF.

👤 TAILLE 42.

✒ N'HÉSITEZ PAS À ME POSER DES QUESTIONS OU À ME DEMANDER D'AUTRES PHOTOS ! PUIS N'OUBLIEZ PAS DE JETER UN COUP D'ŒIL À MON DRESSING 😊"
369,BON ÉTAT,PRETTYLITTLETHING,L / 40 / 12,2022-04-24,"T-SHIRT IMPRIMÉ ""SOUTH DAKOTA"" PRETTYLITTLETHING",9.0,PORTÉ QUELQUES FOIS
370,NEUF AVEC ÉTIQUETTE,LACOSTE,XS / 34 / 6,2022-05-12,T-SHIRT LACOSTE GRIS,30.0,"JAMAIS PORTÉ SAUF POUR LA PHOTO
TAILLE : 34"
371,BON ÉTAT,LEVI'S,M / 38 / 10,2022-05-12,T-SHIRT LEVI’S ARGENT ET BLANC,15.0,"BON ÉTAT 
SUPER JOLIE
TAILLE : M"
372,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT ÉTÉ,2.0,T-SHIRT ÉTÉ
373,NEUF SANS ÉTIQUETTE,MISSGUIDED,XS,2022-05-12,T-SHIRT MISSGUIDED,2.0,JAMAIS PORTÉ
374,TRÈS BON ÉTAT,MISSGUIDED,S,2022-05-12,T-SHIRT MISSGUIDED,4.0,"T-SHIRT MISSGUIDED 
TRÈS PEU PORTE 
#MISSGUIDED #MISSGUIDEDTOP"
375,NEUF AVEC ÉTIQUETTE,MISSGUIDED,XXL,2022-05-12,T-SHIRT MISSGUIDED,2.5,T-SHIRT NEUF MISSGUIDED COUPE LARGE
376,TRÈS BON ÉTAT,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MISSGUIDED,4.0,"TAILLE S 
COL ROND 

(MM)"
377,TRÈS BON ÉTAT,MISSGUIDED,M / 38 / 10,2022-05-12,TSHIRT NOTORIOUS B.I.G,4.0,"T SHIRT THE NOTORIOUS B.I.G
TAILLE M
PAS DE DÉFAUT COMME NEUF"
378,TRÈS BON ÉTAT,MISSGUIDED,XXS / 32 / 4,2022-04-29,T SHIRT OVERSIZE MISSGUIDED EFFET DÉLAVÉ,3.0,JAMAIS PORTÉ EN TRÈS BON ÉTAT
379,TRÈS BON ÉTAT,MISSGUIDED,XS,2022-05-12,MISSGUIDED OVERSIZED T-SHIRT,4.99,BARELY WORN
380,NEUF SANS ÉTIQUETTE,MISSGUIDED,XXS / 32 / 4,2022-05-12,T-SHIRT BARBIE X MISSGUIDED,5.0,"JAMAIS PORTÉ
COUPE LARGE
NON REPASSÉ"
381,NEUF AVEC ÉTIQUETTE,MISSGUIDED,M / 38 / 10,2022-05-12,T-SHIRT FRONCÉ NOIR MISSGUIDED,7.0,"T SHIRT NOIR, RAS DU COU, COTÉS FRONCÉS NOUÉS, COUPE SLIM
INSCRIPTION « BABY » SUR LE DEVANT
ACHETÉ SUR ASOS
TAILLE 38"
382,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MOTIF VACHE,12.0,"PORTÉ TRÈS PEU DE FOIS.
IL EST ASSEZ ÉPAIS."
383,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,🦋 T-SHIRT FANTAISIE NEUF « MISSGUIDED »,11.0,"🦋 T-SHIRT FANTAISIE NEUF « MISSGUIDED »🦋
TAILLE S
JOLI TISSU 95 % VISCOSE/5 % ÉLASTHANE￼"
384,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MISSGUIDED,5.0,VEND T SHIRT MISSGUIDED JAMAIS PORTÉ
385,NEUF AVEC ÉTIQUETTE,MISSGUIDED,S,2022-05-12,T-SHIRT MISSGUIDED,16.0,"ARTICLE NEUF AVEC ÉTIQUETTE, TAILLE S (CONVIENT À UN 34/36) COULEUR GRIS ANTHRACITE"
386,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT COURT MISSGUIDED,8.0,"HAUT COURT MISS GUIDED 

NEUF"
387,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MISSGUIDED,7.0,JAMAIS PORTÉ
388,NEUF SANS ÉTIQUETTE,MISSGUIDED,M / 38 / 10,2022-05-12,T-SHIRT MISSGUIDED TAILLE M,10.0,JAMAIS PORTÉ
389,TRÈS BON ÉTAT,MISSGUIDED,M / 38 / 10,2022-05-12,T-SHIRT MISSGUIDED,7.0,"T-SHIRT MISSGUIDED EN PARFAIT ÉTAT, MIS 2/3FOIS"
390,NEUF SANS ÉTIQUETTE,MISSGUIDED,M / 38 / 10,2022-05-12,T-SHIRT MISSGUIDED,5.0,"JAMAIS PORTÉ 
PARFAIT ÉTAT 
MARQUE MISSGUIDED"
391,TRÈS BON ÉTAT,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MISSGUIDED,5.0,"VEND T-SHIRT MISSGUIDED 
MATIÈRE LÉGÈRE"
392,NEUF SANS ÉTIQUETTE,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT NOIR MARQUE MISSGUIDED,5.0,"T-SHIRT NOIR MARQUE MISSGUIDED
TAILL 36/S
NEUF JAMAIS PORTÉ"
393,TRÈS BON ÉTAT,MISSGUIDED,M,2022-05-12,T SHIRT AIGLE MISSGUIDED,6.0,T-SHIRT AVEC LOGO AIGLE MISSGUIDED. TAILLE M. SE PORTE LARGE. PORTÉ 1 FOIS. ÉTAT NICKEL.
394,TRÈS BON ÉTAT,PLAYBOY X MISSGUIDED,XS / 34 / 6,2022-05-10,PLAYBOY T-SHIRT,45.0,"✮ T-SHIRT PLAYBOY X MISSGUIDED
✮ COULEURS : 🤍💙
✮ TAILLE : XS
✮ ÉTAT : PORTÉ QUELQUES FOIS"
395,TRÈS BON ÉTAT,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT AVEC COL - KAKI | MISSGUIDED - TAILLE 36,5.0,"🛍️ LES RÉDUCTIONS SONT ACTIVÉES POUR LES ACHATS DE LOT, N'HÉSITEZ PAS 🙂
🎁 CADEAU OFFERT POUR 3 ARTICLES ACHETÉS, OU À PARTIR DE 10€ D'ACHAT ! 😉
✨ JE SUIS ÉGALEMENT OUVERTE À LA NÉGOCIATION, AINSI QU'AUX ÉCHANGES.

#EZHTAILLE36"
396,BON ÉTAT,MISSGUIDED,TAILLE UNIQUE,2022-05-12,T SHIRT MISSGUIDED FEMME,5.0,PORTÉE 1 À 2 FOIS
397,TRÈS BON ÉTAT,MISSGUIDED,S / 36 / 8,2022-05-12,T-SHIRT MISSGUIDED,4.0,"T-SHIRT COL ROND COMME NEUF TRÈS PEU PORTE
TAILLE S"
398,TRÈS BON ÉTAT,MISSGUIDED,XS / 34 / 6,2022-05-12,T-SHIRT MISSGUIDED NOIR,5.0,"PORTÉ UNE FOIS, TAILLE EU 32 MAIS CORRESPOND À UN 34/36."
